,Water fixture model configuration - probability distribution of hot water draw volume per event,,,,,,,
,"Data estimated from Clarke, A., Grant, N., Thornton, J., 2009 Quantifying the energy and carbon effects of water saving: Final Report for the Environment Agency and Energy Saving Trust. ",,,,,,,
,,,Tap volume (applies to basins and sinks),Shower volume,Bath volume,,,
,,,Litres,Litres,Litres,,,
,,lamba (mean),2.3,25.7,73.3,,,
,k (event volume),,Probability of occurrence,,,,,
,0,,0.10025884372280375,6.896548823221205e-12,1.466271781047344e-32,,,
,1,,0.2305953405624486,1.7724130475678496e-10,1.0747772155077031e-30,,,
,2,,0.2651846416468159,2.277550766124687e-09,3.9390584948357314e-29,,,
,3,,0.2033082252625588,1.9511018229801485e-08,9.624432922381971e-28,,,
,4,,0.1169022295259713,1.2535829212647454e-07,1.7636773330264962e-26,,,
,5,,0.0537750255819468,6.443416215300791e-07,2.5855509702168427e-25,,,
,6,,0.02061375980641294,2.7599299455538394e-06,3.158681435281576e-24,,,
,7,,0.006773092507821393,1.0132885657247666e-05,3.3075907029448505e-23,,,
,8,,0.0019472640959986502,3.2551895173908125e-05,3.0305799815732192e-22,,,
,9,,0.0004976341578663217,9.295374510771541e-05,2.4682390294368552e-21,,,
,10,,0.00011445585630925399,0.00023889112492682862,1.8092192085772147e-20,,,
,11,,2.3931679046480376e-05,0.0005581365373290452,1.205597890806453e-19,,,
,12,,4.586905150575404e-06,0.0011953424174463714,7.364193783009416e-19,,,
,13,,8.1152937279411e-07,0.00236310000987475,4.152272340727617e-18,,,
,14,,1.3332268267331808e-07,0.004337976446698648,2.1740111612523875e-17,,,
,15,,2.04428113432421e-08,0.007432399645343683,1.0623667874653333e-16,,,
,16,,2.9386541305910515e-09,0.01193829193033329,4.866967845075559e-16,,,
,17,,3.9758261766820104e-10,0.018047888388797974,2.0985220179061084e-15,,,
,18,,5.080222336871457e-11,0.02576837397733933,8.545647995139875e-15,,,
,19,,6.149742828844395e-12,0.03485511637987478,3.296821042335541e-14,,,
,20,,7.072204253171055e-13,0.04478882454813909,1.2082849120159758e-13,,,
,21,,7.745747515377821e-14,0.05481299004224641,4.2174897167033824e-13,,,
,22,,8.097826947894996e-15,0.06403153836753331,1.4051908919743537e-12,,,
,23,,8.097826947894993e-16,0.07154828417589591,4.478282277466093e-12,,,
,24,,7.760417491732701e-17,0.0766162876383552,1.3677420455761026e-11,,,
,25,,7.139584092394084e-18,0.07876154369222915,4.0102196776291334e-11,,,
,26,,6.315785927887073e-19,0.07785275664962649,1.1305734706546742e-10,,,
,27,,5.380113938570471e-20,0.07410429058871856,3.0692976073699126e-10,,,
,28,,4.419379306682886e-21,0.06801715243321668,8.034982665007666e-10,,,
,29,,3.5050249673691854e-22,0.06027726957012651,2.030911135672627e-09,,,
,30,,2.687185808316375e-23,0.05163752759840836,4.9621928748267825e-09,,,
,31,,1.9937185029444067e-24,0.04280917610577726,1.1733185087896878e-08,,,
,32,,1.432985173991292e-25,0.03438111955995236,2.687632709196379e-08,,,
,33,,9.987472424787788e-27,0.02677559917244774,5.969802351033167e-08,,,
,34,,6.756231346179978e-28,0.020239202903879625,1.2870191539139158e-07,,,
,35,,4.439809170346841e-29,0.014861357560848753,2.695385828054e-07,,,
,36,,2.8365447477215925e-30,0.0106093580364948,5.488105033232169e-07,,,
,37,,1.7632575458809903e-31,0.00736920274426801,1.0872381052322113e-06,,,
,38,,1.0672348304016521e-32,0.0049839081717812615,2.0972250819347655e-06,,,
,39,,6.293948999804612e-34,0.0032842676926866255,3.94170765399534e-06,,,
,40,,3.6190206748876506e-35,0.002110141992551156,7.223179275946459e-06,,,
,41,,2.0301823298150247e-36,0.001322698761184506,1.2913635144557948e-05,,,
,42,,1.1117665139463225e-37,0.0008093656705343283,2.2537368002288024e-05,,,
,43,,5.946658097852422e-39,0.0004837371565751684,3.841835057134214e-05,,,
,44,,3.108480369331947e-40,0.00028254647554504144,6.400147947453133e-05,,,
,45,,1.5887788554363287e-41,0.00016136543158905704,0.00010425129878851436,,,
,46,,7.943894277181644e-43,9.015416503997317e-05,0.00016612217828691528,,,
,47,,3.887437625003781e-44,4.9297064713347026e-05,0.00025907990783895506,,,
,48,,1.862730528647646e-45,2.639447006527123e-05,0.00039563660926240457,,,
,49,,8.743429012019556e-47,1.3843630217907553e-05,0.0005918400705904943,,,
,50,,4.021977345528997e-48,7.115625932004485e-06,0.0008676375434856652,,,
,51,,1.813832920532686e-49,3.58571738142187e-06,0.001247016312499986,,,
,52,,8.022722533125334e-51,1.772171859664269e-06,0.001757813378966325,,,
,53,,3.481558835129864e-52,8.593361659126744e-07,0.0024310890694005985,,,
,54,,1.4828861705182755e-53,4.0898036044362475e-07,0.003299978310871552,,,
,55,,6.201160349440063e-55,1.9110536842547564e-07,0.0043979710943069985,,,
,56,,2.546905143520024e-56,8.770371372383429e-08,0.005756630021655407,,,
,57,,1.0276985666835177e-57,3.95436042579393e-08,0.0074028242208305445,,,
,58,,4.075356385124295e-59,1.7521907403948967e-08,0.009355638196325499,,,
,59,,1.5886982518281154e-60,7.632424072567603e-09,0.011623191182892532,,,
,60,,6.090009965341107e-62,3.2692216444164557e-09,0.014199665228433704,,,
,61,,2.296233265620418e-63,1.377360594450868e-09,0.017062876413839193,,,
,62,,8.518284695043484e-65,5.709381818933435e-10,0.02017272324410342,,,
,63,,3.109849968031748e-66,2.3290652816918944e-10,0.023470803393536212,,,
,64,,1.1176023322614091e-67,9.352652771794011e-11,0.02688140451165944,,,
,65,,3.954592868001908e-69,3.697895019001631e-11,0.03031395308776364,,,
,66,,1.378115696424907e-70,1.439937908914271e-11,0.03366686002019809,,,
,67,,4.730844928025797e-72,5.523343919268173e-12,0.03683254984299283,,,
,68,,1.6001387256557857e-73,2.087499098899884e-12,0.0397033221101673,,,
,69,,5.333795752185952e-75,7.775177803148846e-13,0.0421775871112357,,,
,70,,1.752532890003955e-76,2.85460099344179e-13,0.044165959075051074,,,
,71,,5.677219221139571e-78,1.0332851483303379e-13,0.045596687326778074,,,
,72,,1.8135561400862512e-79,3.688253932234676e-14,0.04641996084795599,,,
,73,,5.713944003011476e-81,1.2984674802524821e-14,0.046610727810344865,,,
,74,,1.775955568503567e-82,4.5095424652011886e-15,0.046169815520247,,,
,75,,5.44626374341094e-84,1.545269884742274e-15,0.04512329970178807,,,
,76,,1.6482113960322574e-85,5.225452110246899e-16,0.04352023510711928,,,
,77,,4.923228845291159e-87,1.7440794705629264e-16,0.04142900303054342,,,
,78,,1.451721326175599e-88,5.746518255572722e-17,0.038932640027420945,,,
,79,,4.226530443296043e-90,1.869436951496441e-17,0.036123576126708266,,,
,80,,1.2151275024476128e-91,6.005566206682319e-18,0.03309822662609647,,,
,81,,3.4503620439870475e-93,1.905469771749822e-18,0.029951851996208274,,,
,82,,9.677844757524642e-95,5.972021113898831e-19,0.026774033552708125,,,
,83,,2.681812402687551e-96,1.8491679834602405e-19,0.0236450199929338,,,
,84,,7.343057769263535e-98,5.657573473205738e-20,0.020633094827167235,,,
,85,,1.9869450434477807e-99,1.710583979545735e-20,0.017793010009780695,,,
,86,,5.313922790616155e-101,5.111861427247136e-21,0.015165437601359575,,,
,87,,1.4048301630364554e-102,1.510055617014385e-21,0.012777316967582275,,,
,88,,3.67171519884528e-104,4.410048790598828e-22,0.010642924246861142,,,
,89,,9.488702199263078e-106,1.2734635271729191e-22,0.008765464576347432,,,
,90,,2.4248905620338997e-107,3.6364458498160065e-23,0.007138983927180748,,,
,91,,6.128844277668093e-109,1.0269962454974865e-23,0.005750412328157674,,,
,92,,1.5322110694170234e-110,2.8688916857918922e-24,0.0045815785179778,,,
,93,,3.789339203934576e-112,7.928012508048566e-25,0.00361107210072874,,,
,94,,9.271787413882472e-114,2.1675523559239164e-25,0.002815867925355496,,,
,95,,2.2447485317820703e-115,5.863799531288908e-26,0.002172664409774292,,,
,96,,5.3780433573945464e-117,1.5697879995221357e-26,0.001658919804546414,,,
,97,,1.2752061569079837e-118,4.159129029661737e-27,0.0012535960997242476,,,
,98,,2.9928307764166977e-120,1.0907103679827212e-27,0.0009376387154059936,,,
,99,,6.95304119773576e-122,2.8314400461773673e-28,0.0006942314933258519,,,
,100,,1.5991994754792248e-123,7.276800918675833e-29,0.0005088716846078492,,,
,101,,3.641741379804176e-125,1.851621619900682e-29,0.00036930984635401347,,,
,102,,8.21176977798981e-127,4.6653603560242694e-30,0.000265396193507345,,,
,103,,1.8336961640171414e-128,1.1640753509691624e-30,0.0001888693299426057,,,
,104,,4.055289593499445e-130,2.876609280760332e-31,0.00013311655658454797,,,
,105,,8.883015300046404e-132,7.040843668146718e-32,9.292803426330826e-05,,,
,106,,1.927446716047804e-133,1.707072474258214e-32,6.426061237264619e-05,,,
,107,,4.1431097634672463e-135,4.100164727891228e-33,4.402152230761653e-05,,,
,108,,8.823289311087647e-137,9.756873472852266e-34,2.9877570232854525e-05,,,
,109,,1.8617949922478512e-138,2.300473837177093e-34,2.009198071622235e-05,,,
,110,,3.892844074700057e-140,5.374743419586486e-35,1.338856533180999e-05,,,
,111,,8.066253488117224e-142,1.2444225755258787e-35,8.841277827222266e-06,,,
,112,,1.6564627698812152e-143,2.8555053741977756e-36,5.786300577994573e-06,,,
,113,,3.371561390023714e-145,6.494379479370165e-37,3.7534144457256846e-06,,,
,114,,6.802272979872409e-147,1.464083794910643e-37,2.4133796392253756e-06,,,
,115,,1.3604545959744817e-148,3.2719090025394376e-38,1.5382671961323484e-06,,,
,116,,2.697453078225263e-150,7.248970807350299e-39,9.720257368663882e-07,,,
,117,,5.302685538391545e-152,1.592295296999169e-39,6.089699701906521e-07,,,
,118,,1.033574299855979e-153,3.4679651807524282e-40,3.782838882624981e-07,,,
,119,,1.9976646131670177e-155,7.489639087843478e-41,2.330101597448833e-07,,,
,120,,3.8288571752367794e-157,1.604031037979809e-41,1.4233037257749936e-07,,,
,121,,7.27799297772281e-159,3.406908898849681e-42,8.622162239612161e-08,,,
,122,,1.3720806433411856e-160,7.176849073806297e-43,5.180364689865339e-08,,,
,123,,2.5656792517762e-162,1.49955301786034e-43,3.0871604208709705e-08,,,
,124,,4.758921192810693e-164,3.1079445612105427e-44,1.8249101520148556e-08,,,
,125,,8.756414994771676e-166,6.389934017848876e-45,1.0701273131415114e-08,,,
,126,,1.5983932133313367e-167,1.3033436845929843e-45,6.225423178831168e-09,,,
,127,,2.8947278666630496e-169,2.6374750152787158e-46,3.593098574868697e-09,,,
,128,,5.201464135410165e-171,5.295555304114295e-47,2.0576103557646527e-09,,,
,129,,9.273928303444488e-173,1.0550059791917637e-47,1.1691692951747997e-09,,,
,130,,1.6407719306094094e-174,2.0856656665560256e-48,6.592316102793294e-10,,,
,131,,2.8807446109936218e-176,4.09172577331984e-49,3.688677636143121e-10,,,
,132,,5.019479246428278e-178,7.966466088963623e-50,2.0483338691612924e-10,,,
,133,,8.680302456229355e-180,1.539384800649362e-50,1.1288937790189683e-10,,,
,134,,1.4899026603975736e-181,2.952402192290191e-51,6.175217462842556e-11,,,
,135,,2.53835268067735e-183,5.620498988285778e-52,3.352914370565628e-11,,,
,136,,4.292802327616104e-185,1.0621089999922382e-52,1.807122230606327e-11,,,
,137,,7.20689441862558e-187,1.9924234525401852e-53,9.66876346740466e-12,,,
,138,,1.2011490697709303e-188,3.710527734078462e-54,5.135654798266389e-12,,,
,139,,1.9875128492612493e-190,6.860472141425639e-55,2.7082265950570212e-12,,,
,140,,3.2651996809291956e-192,1.2593866716759924e-55,1.4179500672691406e-12,,,
,141,,5.326212245487339e-194,2.295477834189574e-56,7.371329073108366e-13,,,
,142,,8.626963496211887e-196,4.1544915731459194e-57,3.8050593032312896e-13,,,
,143,,1.3875535693207943e-197,7.466463876213305e-58,1.950425502984992e-13,,,
,144,,2.2162313954429316e-199,1.3325564001297336e-58,9.928207595055535e-14,,,
,145,,3.515401523806032e-201,2.361841343678219e-59,5.018880115293595e-14,,,
,146,,5.537961304625939e-203,4.157487844693851e-60,2.519752825006989e-14,,,
,147,,8.664837415401123e-205,7.268533170655231e-61,1.25644817736743e-14,,,
,148,,1.3465625713123382e-206,1.26217096274216e-61,6.222814283853562e-15,,,
,149,,2.0785865194754203e-208,2.177033137078758e-62,3.061290516821919e-15,,,
,150,,0,0,3.774758283725532e-15,,,
